"Note","Course","Module","Clip","Time in Clip","URL"
"Half duplex means only one device can communicate at a time on #Ethernet","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","0:27","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=27&noteid=ac5862a4-15e3-4eb8-886b-4773e321cf53"
" Half duplex is really similar to walkie talkie. I can only talk or listen, not both.","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","0:36","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=36&noteid=ee66459f-157b-46f2-ac30-71a641b5975d"
" Full Duplex is more like a *telephone* communication, which means that two devices can communicate at a time and listen/talk simultaneously.","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","1:04","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=64&noteid=291fff59-5178-4899-b5d0-02d8029e7e00"
"Full Duplex networks allow us not to worry about Collisions.","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","1:38","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=98&noteid=e51d70c9-21b1-4fdb-bf23-1d2021730892"
"Modern Collision Domain: Half Duplex connection between a PC and a switch. \n\n- We might keep half duplex because we are dealing with an old device. \n\n- Might used experimentation.","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","1:55","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=115&noteid=a983e80d-6f26-46e8-8ce2-c77a64a09d8f"
"Most modern networks are Full Duplex. ","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","2:34","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=154&noteid=57fd3771-8e22-484a-a10b-a3b73edd00e7"
"Ethernet = 10Mbps - 1982\nFastEthernet = 100Mbps\nGigabitEthernet = 1Gbps - Common\n10GigabitEthernet = 10Gbps - Connects ISPs together","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","2:55","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=175&noteid=dd7a8312-4dd6-4d67-9fe3-b0b08295f89f"
"What hasn't changed since the creation of Ethernet is the **Frame**. Protocols changed, duplexes changed, but not Frame.","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","0:23","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=23&noteid=2c4fa350-2183-4b1c-80af-bec2cff8793b"
"Ethernet II Frame is like a packet but for Layer 2. It contains Data Link addresses (Dst. and Src. Addresses), and it might also contain Layer 3 data, called a **packet**. (It doesn't necessarily need to be IP data)\n&nbsp;\nThis **packet** is the data we are transferring in the Frame. Everything is the frame information, that is used by Ethernet to understand where this **chunk of data, with a data link layer header**, is going.","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","0:54","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=54&noteid=2d0efd76-aea5-43ad-b5a6-b3ab7a0359bc"
"Ethernet Frame:\n- Dst Mac Address\n    - MAC address TIED to a **Network Interface Card**\n- Src Mac Address\n- Type \n- FCS (Frame Check Sequence)\n\nPacket inside Ethernet II Frame:\n- Data/Payload","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","1:47","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=107&noteid=4b4b8020-cd58-4d22-b823-b45b522ba104"
